id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zscore
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,2.0791812460476247,2,88,2019-06-19,0.73,2,233,0.30355657150146675
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,Claude & Sophie,Manhattan,Inwood,40.86754,-73.92639,Private room,1.9030899869919435,4,0,,,1,0,-1.08526800033544
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,2.1760912590556813,10,58,2017-08-13,0.49,1,75,1.3451750003791467
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,1.845098040014257,1,74,2019-05-12,0.66,2,269,-1.4324741432946666
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,1.9493900066449128,4,168,2019-06-21,1.41,3,340,-0.772782471672136
11708,Cute apt in artist's home,44145,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,1.9294189257142926,2,231,2019-06-22,1.96,2,22,-0.9116649288558266
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,2.1760912590556813,1,0,,,1,365,1.3451750003791467
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,2.0791812460476247,3,15,2019-05-27,0.39,1,345,0.30355657150146675
12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,2.0791812460476247,7,25,2018-09-30,0.23,1,311,0.30355657150146675
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,2.130333768495006,4,81,2019-06-16,0.69,1,273,0.8243657859403067
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,2.1760912590556813,7,97,2019-06-13,0.84,1,309,1.3451750003791467
12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,2.1760912590556813,29,11,2019-06-05,0.49,1,95,1.3451750003791467
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,2.113943352306837,3,248,2019-07-01,2.25,1,215,0.6507627144606934
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,2.041392685158225,7,61,2019-05-25,0.52,1,265,-0.04364957145775991
13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,2.060697840353612,3,11,2017-01-01,0.1,1,0,0.12995350002185344
13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,1.9030899869919435,3,135,2019-06-17,1.16,2,192,-1.08526800033544
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,1.9030899869919435,1,112,2019-06-16,1.01,3,251,-1.08526800033544
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,2.1789769472931693,2,73,2019-07-07,0.63,1,302,1.3798956146750694
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,2.1583624920952498,2,328,2019-06-29,2.82,1,234,1.1368513146036108
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,2.1760912590556813,30,105,2019-06-22,0.9,1,30,1.3451750003791467
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,2.041392685158225,5,19,2019-05-18,0.17,1,301,-0.04364957145775991
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,1.9030899869919435,2,42,2019-06-30,0.38,1,263,-1.08526800033544
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72649,-73.97904,Private room,1.9030899869919435,1,338,2019-07-01,4.72,2,72,-1.08526800033544
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,1.99563519459755,1,106,2019-06-21,1.26,2,336,-0.42557632871290924
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,2.0211892990699383,2,105,2019-06-26,0.92,1,304,-0.21725264293737326
18198,Little King of Queens,70091,Justin,Queens,Woodside,40.75038,-73.90334,Private room,1.845098040014257,30,25,2019-05-31,0.22,1,324,-1.4324741432946666
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,1.9777236052888478,3,143,2019-06-16,1.28,1,132,-0.5644587858965999
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,2.1760912590556813,3,167,2019-05-28,1.65,1,295,1.3451750003791467
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,2.161368002234975,3,61,2019-04-22,0.54,4,238,1.1715719288995334
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,2.041392685158225,31,54,2019-03-23,0.49,1,209,-0.04364957145775991
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,2.113943352306837,6,16,2019-06-15,0.15,1,38,0.6507627144606934
19319,Private room Great Deal at Lower East Side,44263,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,1.9731278535996986,30,94,2019-04-08,0.84,1,188,-0.5991794001925226
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,2.0211892990699383,3,61,2018-08-09,0.53,1,272,-0.21725264293737326
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,1.9294189257142926,3,174,2019-06-22,1.54,4,288,-0.9116649288558266
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,2.1172712956557644,4,166,2019-06-27,3.4,1,207,0.6854833287566161
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,1.9912260756924949,7,16,2019-05-31,0.2,6,185,-0.46029694300883195
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,2.0,5,168,2018-07-22,1.57,1,0,-0.3908557144169866
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,2.0211892990699383,3,118,2019-06-18,1.05,2,9,-0.21725264293737326
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,2.146128035678238,3,81,2019-07-07,0.71,1,198,0.9979688574199201
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,1.9493900066449128,1,1,2018-10-09,0.11,1,365,-0.772782471672136
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,1.9912260756924949,30,30,2019-05-01,0.27,2,364,-0.46029694300883195
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,2.0969100130080562,7,139,2018-10-28,1.23,2,311,0.4771596429810801
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,2.0043213737826426,3,335,2019-05-29,3.02,1,152,-0.3561351001210639
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,2.0969100130080562,90,162,2019-06-28,1.46,2,137,0.4771596429810801
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,1.9030899869919435,30,29,2018-05-26,0.4,1,222,-1.08526800033544
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,2.0,2,170,2019-06-23,1.61,1,346,-0.3908557144169866
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,2.0969100130080562,2,19,2019-06-02,0.2,6,250,0.4771596429810801
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,2.146128035678238,7,12,2017-12-11,0.13,1,164,0.9979688574199201
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,2.0791812460476247,30,467,2018-12-30,4.22,2,192,0.30355657150146675
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,1.99563519459755,2,354,2019-05-20,3.2,3,20,-0.42557632871290924
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,2.0,4,25,2011-12-10,0.23,1,0,-0.3908557144169866
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,1.8750612633917,2,9,2018-10-05,0.08,1,324,-1.2588710718150533
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,1.954242509439325,1,9,2011-09-18,0.08,1,245,-0.7380618573762132
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,2.1760912590556813,5,21,2017-08-15,0.19,1,189,1.3451750003791467
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,1.9294189257142926,15,36,2017-08-17,0.33,1,307,-0.9116649288558266
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,1.845098040014257,3,63,2019-05-14,0.58,2,310,-1.4324741432946666
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,2.0791812460476247,3,155,2019-06-20,1.42,3,213,0.30355657150146675
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,1.9493900066449128,3,260,2019-07-03,2.35,1,278,-0.772782471672136
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,2.0211892990699383,3,32,2019-06-14,0.29,1,16,-0.21725264293737326
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,2.113943352306837,2,50,2019-05-26,0.45,3,234,0.6507627144606934
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,2.060697840353612,29,26,2019-07-01,0.25,1,12,0.12995350002185344
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,1.8864907251724818,2,2,2019-01-01,0.02,1,178,-1.189429843223208
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,1.8808135922807914,2,426,2019-06-24,3.89,3,275,-1.2241504575191307
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,2.0969100130080562,3,227,2019-06-23,2.09,2,163,0.4771596429810801
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,2.130333768495006,4,84,2019-07-01,0.77,3,365,0.8243657859403067
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,2.146128035678238,2,4,2016-04-24,0.04,1,0,0.9979688574199201
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,2.146128035678238,2,1,2011-09-19,0.01,1,1,0.9979688574199201
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,2.060697840353612,3,124,2019-06-20,1.72,2,170,0.12995350002185344
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,2.2041199826559246,3,11,2019-07-02,0.11,1,188,1.6923811433383735
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,1.9030899869919435,3,200,2019-06-22,1.86,4,262,-1.08526800033544
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,2.1931245983544616,4,79,2019-06-22,0.74,1,307,1.553498686154683
36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,1.9294189257142926,15,9,2013-05-10,0.09,1,339,-0.9116649288558266
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,2.0969100130080562,3,155,2019-06-13,1.61,1,1,0.4771596429810801
36442,Great location. Spacious on PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,2.060697840353612,15,4,2018-08-27,0.05,1,269,0.12995350002185344
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,2.0969100130080562,6,27,2018-12-27,0.25,1,189,0.4771596429810801
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,1.99563519459755,1,234,2019-06-08,2.6,2,164,-0.42557632871290924
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,1.8976270912904414,30,28,2019-04-12,0.26,1,126,-1.1199886146313627
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,2.130333768495006,2,309,2019-06-22,2.86,2,3,0.8243657859403067
41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,1.9030899869919435,3,2,2015-11-02,0.04,1,0,-1.08526800033544
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,1.845098040014257,2,294,2019-06-24,3.47,3,336,-1.4324741432946666
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,2.2174839442139063,2,150,2019-06-18,1.4,3,342,1.8659842148179868
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,1.845098040014257,2,166,2019-06-13,1.66,1,312,-1.4324741432946666
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,2.1760912590556813,2,193,2016-07-06,1.78,1,177,1.3451750003791467
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,2.0969100130080562,1,84,2019-06-23,0.78,4,310,0.4771596429810801
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,2.041392685158225,2,213,2019-06-24,2.0,2,321,-0.04364957145775991
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,2.2174839442139063,3,80,2019-05-26,0.75,3,231,1.8659842148179868
45393,Greenwich Village Stylish Apartment,201297,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,2.1760912590556813,26,38,2016-04-20,0.36,1,225,1.3451750003791467
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,2.0,2,18,2018-12-17,1.79,1,0,-0.3908557144169866
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,1.99563519459755,4,122,2019-05-14,1.18,2,233,-0.42557632871290924
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,2.1760912590556813,5,52,2019-06-05,0.5,1,18,1.3451750003791467
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,1.954242509439325,3,126,2019-05-19,1.17,4,343,-0.7380618573762132
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,2.0791812460476247,3,51,2019-06-24,0.48,3,250,0.30355657150146675
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Manhattan,Upper East Side,40.76834,-73.95334,Private room,1.8750612633917,3,199,2019-06-24,1.85,1,326,-1.2588710718150533
47370,Chelsea Studio sublet 1 - 2 months,214287,Alex,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,2.0969100130080562,3,3,2015-07-17,0.03,1,0,0.4771596429810801
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,2.130333768495006,5,151,2019-06-22,1.43,3,162,0.8243657859403067
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,40.77333,-73.95199,Private room,2.113943352306837,14,0,,,2,0,0.6507627144606934
51485,Lower East Side $57~/night,236655,Erina,Manhattan,Lower East Side,40.72319,-73.99201,Private room,1.919078092376074,1,285,2019-06-22,2.69,1,7,-0.9811061574476719
51572,Prime Location in Manhattan,237329,Lee,Manhattan,Chelsea,40.74859,-73.99671,Private room,2.089905111439398,1,375,2019-06-18,3.52,1,328,0.4077184143892348
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,1.9030899869919435,2,11,2017-11-13,0.48,1,0,-1.08526800033544
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,1.9912260756924949,30,33,2015-05-09,0.31,5,240,-0.46029694300883195
53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,40.70234,-73.89816,Private room,2.146128035678238,7,6,2015-10-08,0.06,5,365,0.9979688574199201
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,2.0211892990699383,6,10,2014-01-07,0.09,1,363,-0.21725264293737326
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,2.0,2,226,2019-06-06,2.12,3,250,-0.3908557144169866
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,2.0827853703164503,1,104,2019-06-22,1.0,5,247,0.3382771857973894
54860,Great apartment with private bathroom and entrance,258164,Jenny,Manhattan,East Harlem,40.79958,-73.94275,Private room,2.0,5,204,2019-06-23,1.92,1,192,-0.3908557144169866
55467,Private Garden Apt • New Renovation,260709,Paul,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,2.146128035678238,2,253,2019-07-02,3.04,1,125,0.9979688574199201
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,1.8512583487190752,2,23,2019-07-01,0.22,1,91,-1.397753528998744
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Jason,Manhattan,NoHo,40.72773,-73.99134,Private room,2.113943352306837,2,115,2018-12-05,1.17,1,75,0.6507627144606934
56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,2.113943352306837,1,204,2019-07-01,2.04,1,192,0.6507627144606934
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,2.146128035678238,2,17,2019-06-17,0.16,1,292,0.9979688574199201
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,2.2013971243204513,2,222,2019-06-24,2.12,1,279,1.6576605290424509
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,2.1903316981702914,3,222,2019-06-26,2.1,2,232,1.51877807185876
58062,South Slope Green,277394,Linda,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,2.130333768495006,2,21,2019-05-17,0.26,1,272,0.8243657859403067
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Dave,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,2.0791812460476247,7,17,2019-05-08,0.3,1,341,0.30355657150146675
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,2.1760912590556813,3,41,2019-01-02,0.39,1,244,1.3451750003791467
59121,"Nice, clean, safe, convenient 3BR",204539,Mark,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,2.146128035678238,14,1,2012-09-17,0.01,5,365,0.9979688574199201
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,Betty,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,2.130333768495006,2,69,2019-05-19,0.67,1,12,0.8243657859403067
60611,SpaHa Studio Monthly Rental,292204,Blanca,Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,2.0969100130080562,28,183,2018-09-29,1.83,2,365,0.4771596429810801
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,40.8118,-73.94434,Private room,1.9637878273455553,1,189,2019-06-11,1.82,5,253,-0.6686206287843679
60680,The gem of the East Village,292630,Mich,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,1.99563519459755,2,127,2019-06-20,1.22,1,320,-0.42557632871290924
60948,ACCOMMODATIONS GALORE #2,126607,Laurine,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,2.146128035678238,3,135,2019-06-20,1.3,3,192,0.9979688574199201
61167,Colorful Private One Bedroom Apt,295760,Greta,Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,2.130333768495006,2,21,2015-12-12,0.2,1,0,0.8243657859403067
61406,Great room in great location,297176,Bethania,Manhattan,Harlem,40.80335,-73.9575,Private room,1.9030899869919435,14,10,2019-06-01,2.21,2,0,-1.08526800033544
61492,Exclusive Room with Private Bath in  LES,297769,Tunji,Manhattan,Chinatown,40.71445,-73.9908,Private room,2.0791812460476247,4,171,2019-06-23,1.8,2,353,0.30355657150146675
61509,"Quiet, clean midtown apt w. elevato",23619,Anna/Fonzy,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,2.041392685158225,200,92,2019-04-30,0.9,1,140,-0.04364957145775991
62427,Great East Village Apartment Rental,303882,Brie,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,2.113943352306837,50,56,2019-05-26,0.58,1,56,0.6507627144606934
