location,size,total_sqft,bath,price,bhk,price_per_sqft,zscore
other,2 BHK,1110.0,2.0,55.0,2,4954,-0.4408222767833821
Electronic City,2 BHK,1100.0,2.0,42.0,2,3818,-0.7652332093886267
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,8527,0.5795300667012472
other,3 BHK,1500.0,2.0,65.0,3,4333,-0.6181631123008617
other,2 BHK,1080.0,2.0,39.0,2,3611,-0.8243468212277866
Vijayanagar,3 BHK,1933.0,3.0,129.0,3,6673,0.05007771718529347
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5,4285,-0.6318706164954495
other,2 BHK,1060.0,2.0,60.0,2,5660,-0.2392077359213199
Chandapura,1 BHK,645.0,1.0,16.45,1,2550,-1.1273397785289878
other,8 Bedroom,2600.0,8.0,180.0,8,6923,0.1214709681987716
Chandapura,1 BHK,645.0,1.0,16.45,1,2550,-1.1273397785289878
other,3 BHK,1644.0,3.0,84.0,3,5109,-0.3965584611550257
other,2 BHK,1285.0,2.0,72.5,2,5642,-0.2443480499942903
Electronic City,3 Bedroom,1200.0,3.0,90.0,3,7500,0.2862465915378791
Electronic City,2 BHK,910.0,2.0,40.0,2,4395,-0.6004575860495192
Kothanur,3 BHK,1577.0,3.0,70.0,3,4438,-0.588177946875201
other,3 Bedroom,4050.0,3.0,280.0,3,6913,0.11861523815823247
OMBR Layout,3 BHK,2420.0,3.0,185.0,3,7644,0.3273691041216425
other,2 BHK,1060.0,2.0,55.0,2,5188,-0.37399819383476657
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322,0.23541459681628268
other,2 Bedroom,1280.0,2.0,69.0,2,5390,-0.31631244701587624
Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4,7916,0.4050449612243067
Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2,3512,-0.8526185486291239
Electronic City,2 BHK,1108.0,2.0,63.0,2,5685,-0.23206841081997207
other,3 BHK,3045.0,3.0,170.0,3,5582,-0.26148243023752504
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4,10344,1.0984162150672063
Vijayanagar,3 BHK,1500.0,3.0,75.5,3,5033,-0.41826200946312303
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,3389,-0.8877440281277551
Budigere,2 BHK,1162.0,2.0,59.9,2,5154,-0.3837076759725996
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,4753,-0.4982224505982185
Attibele,4 Bedroom,1600.0,4.0,52.8,4,3300,-0.9131600254885534
other,3 BHK,1464.0,3.0,46.0,3,3142,-0.9582805601290715
Hennur Road,3 BHK,1866.0,2.0,61.58,3,3300,-0.9131600254885534
other,2 BHK,700.0,1.0,26.0,2,3714,-0.7949328018102336
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,6651,0.0437951110961074
Sarjapur,2 BHK,913.0,2.0,32.0,2,3504,-0.8549031326615552
Talaghattapura,3 BHK,1868.0,3.0,131.0,3,7012,0.14688696555956982
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,5096,-0.40027091020772654
other,2 Bedroom,900.0,2.0,110.0,2,12222,1.6347223166804539
Kogilu,3 BHK,1664.0,2.0,73.95,3,4444,-0.5864645088508774
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,6515,0.004957182544775299
Balagere,2 BHK,1210.0,2.0,80.9,2,6685,0.05350459323394042
other,4 Bedroom,4111.0,4.0,250.0,4,6081,-0.11898150121462273
Kadugodi,3 BHK,1762.0,3.0,91.45,3,5190,-0.37342704782665875
Jigani,3 BHK,1252.0,3.0,55.0,3,4392,-0.6013143050616809
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006,-0.7115454846264911
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042,0.15545415568118717
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,5288,-0.34544089342937534
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,4279,-0.6335840545197731
Old Madras Road,3 BHK,1425.0,2.0,94.0,3,6596,0.02808859587314221
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,3333,-0.9037361163547742
Kaggadasapura,3 BHK,1280.0,2.0,56.0,3,4375,-0.6061690461305974
other,2 BHK,1084.0,2.0,50.0,2,4612,-0.5384882441698202
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,5039,-0.41654857143879953
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284,-0.6321561894995035
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,4209,-0.6535741648035469
Hebbal,2 BHK,1349.0,2.0,98.2,2,7279,0.22313495764196445
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975,-0.43482524369824993
Jakkur,2 BHK,1417.0,2.0,75.0,2,5292,-0.34429860141315966
TC Palaya,3 Bedroom,1475.0,3.0,98.0,3,6644,0.04179610006773001
other,2 BHK,950.0,2.0,47.0,2,4947,-0.4428212878117595
other,4 BHK,2000.0,4.0,120.0,4,6000,-0.14211291454298963
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,5582,-0.26148243023752504
Singasandra,2 BHK,1010.0,2.0,29.5,2,2920,-1.02167776702904
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,4912,-0.4528163429536464
Vijayanagar,3 BHK,1450.0,3.0,100.0,3,6896,0.11376049708931596
Kothanur,3 BHK,1847.0,3.0,105.0,3,5684,-0.23235398382402597
AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090,-0.6875573522859625
Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952,-0.4413934227914899
Mallasandra,3 BHK,1665.0,3.0,95.0,3,5705,-0.2263569507388938
Begur,4 BHK,1664.0,4.0,65.0,4,3906,-0.7401027850318824
JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108,0.4598749780026579
Panathur,2 BHK,1438.0,2.0,100.0,2,6954,0.1303237313244429
other,3 BHK,1560.0,3.0,115.0,3,7371,0.2494076740149244
Yelahanka,2 BHK,1350.0,2.0,55.55,2,4114,-0.6807036001886686
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,4322,-0.6213044153454548
Malleshpalya,2 BHK,1140.0,2.0,46.5,2,4078,-0.6909842283346095
other,2 BHK,850.0,2.0,27.0,2,3176,-0.9485710779912385
Whitefield,2 BHK,1280.0,2.0,75.0,2,5859,-0.18237870811459128
Munnekollal,2 BHK,1170.0,2.0,52.0,2,4444,-0.5864645088508774
other,2 BHK,1113.0,2.0,51.0,2,4582,-0.5470554342914375
Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999,-0.14239848754704354
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762,-0.21007928950782082
Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,10666,1.1903707223725661
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825,-0.7632341983602493
other,2 BHK,1200.0,2.0,55.0,2,4583,-0.5467698612873836
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,4333,-0.6181631123008617
Kaggalipura,3 BHK,1150.0,2.0,55.0,3,4782,-0.48994083348065504
other,3 BHK,1645.0,3.0,95.0,3,5775,-0.20636684045511994
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,6700,0.05778818829474911
Haralur Road,4 Bedroom,2650.0,4.0,198.0,4,7471,0.27796497442031565
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208,-0.08271372969977583
Ulsoor,3 BHK,2135.0,3.0,215.0,3,10070,1.0201692119564343
Whitefield,2 BHK,1173.0,2.0,58.0,2,4944,-0.4436780068239212
Uttarahalli,2 BHK,1020.0,2.0,45.0,2,4411,-0.5958884179846565
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,7367,0.24826538199870873
Somasundara Palya,3 BHK,1600.0,3.0,64.0,3,4000,-0.7132589226508146
other,2 Bedroom,1200.0,2.0,79.0,2,6583,0.024376146820441348
other,2 BHK,1230.0,2.0,48.0,2,3902,-0.7412450770480981
Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200,-0.9417173258939446
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,5735,-0.21778976061727645
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108,0.4598749780026579
Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,5416,-0.30888754891047454
other,3 Bedroom,1350.0,2.0,140.0,3,10370,1.105841113172608
Bommasandra,3 BHK,1260.0,3.0,49.36,3,3917,-0.7369614819872894
other,3 BHK,1800.0,3.0,150.0,3,8333,0.5241289039147882
Ardendale,2 BHK,1100.0,2.0,43.25,2,3931,-0.7329634599305346
Harlur,2 BHK,1508.0,2.0,77.0,2,5106,-0.3974151801671874
other,3 BHK,1592.0,3.0,75.0,3,4711,-0.5102165167684828
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106,-0.6829881842210999
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500,-0.5704724206238584
other,3 BHK,1762.0,3.0,125.0,3,7094,0.17030395189199063
other,2 BHK,950.0,2.0,50.0,2,5263,-0.35258021853072313
Kodihalli,4 BHK,3252.0,5.0,335.0,4,10301,1.086136575892888
Magadi Road,2 BHK,1116.0,2.0,50.0,2,4480,-0.5761838807049366
Narayanapura,2 BHK,1308.0,2.0,89.04,2,6807,0.08834449972851774
other,3 BHK,1200.0,3.0,90.0,3,7500,0.2862465915378791
Bannerghatta Road,1 BHK,500.0,1.0,18.5,1,3700,-0.7989308238669883
Hennur,2 BHK,1075.0,2.0,52.0,2,4837,-0.47423431825768986
Bellandur,2 BHK,1205.0,2.0,66.0,2,5477,-0.29146759566318586
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581,-0.26176800324157895
KR Puram,2 BHK,930.0,2.0,39.0,2,4193,-0.6581433328684095
Balagere,2 BHK,1380.0,2.0,60.0,2,4347,-0.6141650902441069
Hebbal,4 BHK,2483.0,5.0,212.0,4,8538,0.5826713697458402
Kodigehaali,2 BHK,1166.0,2.0,55.0,2,4716,-0.5087886517482133
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,6190,-0.08785404377274626
Begur Road,2 BHK,1200.0,2.0,46.8,2,3900,-0.7418162230562059
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,6750,0.07206683849744473
Billekahalli,3 BHK,1935.0,3.0,110.0,3,5684,-0.23235398382402597
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629,0.03751250500692132
Electronic City,3 BHK,1800.0,3.0,95.0,3,5277,-0.3485821964739684
Jalahalli,3 BHK,1400.0,3.0,77.0,3,5500,-0.2848994165699459
Hegde Nagar,3 BHK,1801.0,3.0,115.0,3,6385,-0.03216730798223333
